id,user,created_at,text
1049787690667917317,WhatIsMalware,2018-10-09 22:24:24,RT Robotica robotics robotic robot Robots business Entrepreneur DigitalTransformation Io
1049782386597093377,DJGothos,2018-10-09 22:03:19,Rocky Mountain High Radio RMH 80 this Sunday in layout and soon to master Stay tuned trance edm
1049780066744459264,Last_Elektro,2018-10-09 21:54:06,Check out this Amazon deal TCL 49S405 49 Inch 4K Ultra HD Roku Smart LED by TCL
1049779938629480450,Last_Elektro,2018-10-09 21:53:35,TCL Smart LED TV TCL 49S405 49 Inch 4K Ultra HD 2017 Model ledtv electronics
1049774817698828288,DikaMutiaratrip,2018-10-09 21:33:15,melaniecute90 Travel India travel destinations Colorful Postcards From Pushkar Goa
1049773817910976517,melaniecute90,2018-10-09 21:29:16,Travel India travel destinations Colorful Postcards From Pushkar Goa India
1049773412288159744,SlowZen,2018-10-09 21:27:39,breaking The NRA in offering up bump stocks as a sacrificial lamb to the anti gun nuts can not be trusted to supp
1049809967350345728,RisaDorken,2018-10-09 23:52:55,I only respond to Princess now disneyland
1049809012471095298,rose_a_666,2018-10-09 23:49:07,Happiest celebration pt 1 pt1 disneyland tokyodisneyland
1049808783667601414,TxADPIBri,2018-10-09 23:48:13,The way you did once upon a dream Had the best time at Disneyland and in California with my BFF
1049808546408218624,AuthorCharles,2018-10-09 23:47:16,I see no end to Traveling Paris France and Disneyland on the side The Swiss Family Robinson tree house
1049808525508009985,AuthorCharles,2018-10-09 23:47:11,I see no end to Traveling Paris France and Disneyland on the side Four days was not a long time
1049808344955985920,logangilesvick4,2018-10-09 23:46:28,RT Slinky Dog Costume at Night Disneyland Halloween toystory
1049807471361941504,biancanomaj,2018-10-09 23:43:00,RT Awesome JackSkellington cosplay by sfx her out amp show some NightmareBeforeChristmas thisishalloween C
1049806330150686720,holdmepauli,2018-10-09 23:38:28,RT La verdadera Neytiri Pandora WaltDisneyWorld Avatar Disneyland Travel Animal Kingdom
1049805854034210816,TatoiMeretiana_,2018-10-09 23:36:34,RT place Animated display from the newly remodeled World of Disney store at Downtown Disney in the Disneyland Resort in Anaheim
1049805183050543106,AmorxFd,2018-10-09 23:33:54,RT La verdadera Neytiri Pandora WaltDisneyWorld Avatar Disneyland Travel v a Instagram 09 10 18 https
1049805116361060353,FDdaily_,2018-10-09 23:33:38,La verdadera Neytiri Pandora WaltDisneyWorld Avatar Disneyland Travel v a Instagram 09 10
1049804992205467658,momo__Disney___,2018-10-09 23:33:09,Disneyland
1049804903907033090,DisneyDuder,2018-10-09 23:32:48,RT Salt amp Straw nears Disneyland
1049810969008975872,Real_Skull_Face,2018-10-09 23:56:54,RT I made a Blitz emote for Halloween RainbowSixSiege
1049810945130676224,2Fawxy4U,2018-10-09 23:56:48,RT I made a Blitz emote for Halloween RainbowSixSiege
1049810943469858816,carolineselia,2018-10-09 23:56:48,Ummmm This is giving me SERIOUS Halloween inspiration
1049810927535706113,QweenEsther89,2018-10-09 23:56:44,Day 9 31 Patchwork Doll Inspo Follow my Instagram esthers31daysofhalloween
1049810926059343872,AllegraLunaW,2018-10-09 23:56:43,RT Este p ster ha sido dise ado por Matty Ryan Tobin para un evento especial que celebrar los 40 a os de Halloween Desde
1049810913124110336,Tt2RealDotCom,2018-10-09 23:56:40,Halloween movies all October
1049810909504376832,EyKikx,2018-10-09 23:56:40,Esto de ponerle estoperoles a la ropa es sumamente tardado cansado y detallado Halloween
1049810907579084801,CharmingCurmud1,2018-10-09 23:56:39,RT Halloween
1049810901728153600,mybucketofparts,2018-10-09 23:56:38,Terror the Ninth 2sentenceterrors 2sentencehorrorstories 2ST thespookidarian amwriting halloween horror
1049810897298964480,etsygroupboard,2018-10-09 23:56:37,RT Excited to share the latest addition to my etsy shop Hocus Pocus freeshipping HocusPocus hall
1049810896837636102,BeiraMarNiteroi,2018-10-09 23:56:37,Biscoitos decorados tem ticos de Halloween Sim temos lindos e saborosos J dispon veis na loja
1049810879523561472,KatieIsHereYT,2018-10-09 23:56:32,Should I dress my cat up for Halloween poll cats
1049810877753389056,filmink,2018-10-09 23:56:32,It s not Halloween yet but according to our reviewer the new movie delivers on the hype
1049810862725361664,sourwine,2018-10-09 23:56:28,RT Protect your little spook from boo boo s with these tips for choosing a safe Halloween costume
1049810862012334081,FreeAgentMafia,2018-10-09 23:56:28,RT Gaming Livestream horror DBD DeadbyDaylight we hunt down every last survivor killermain HorrorMovies leathe
1049762534453125122,Princes12219926,2018-10-09 20:44:26,RT THE NEW MONTAGEEEEEEEEEEEEE IS SEXYYYYYYYYYYYYYYYYYYYYYYYYYYY OMGGG FREAKING PARALLEL OF ADIYA AND YJHD PALAKH I
1049660046685216768,vk_bharvad,2018-10-09 13:57:11,RT THE NEW MONTAGEEEEEEEEEEEEE IS SEXYYYYYYYYYYYYYYYYYYYYYYYYYYY OMGGG FREAKING PARALLEL OF ADIYA AND YJHD PALAKH I
1049635784792231937,_Preciousgirl__,2018-10-09 12:20:47,RT Preciousgirl 10 YEARS OF RANBIR KAPOOR This Friendship YJHD https
1049577790293434371,anusmita1196,2018-10-09 08:30:20,RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so
1049575294540046341,faizapatel665,2018-10-09 08:20:25,YJHD poster vibes
1049548642611326976,Saima_Nasrullah,2018-10-09 06:34:30,RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so
1049547681662521345,gurvik15_,2018-10-09 06:30:41,RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so
1049546565659099136,manaramiiin,2018-10-09 06:26:15,RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so
1049537887715221505,rohitmaru8,2018-10-09 05:51:46,RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so
1049529050505637890,ayaansangar,2018-10-09 05:16:39,RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so
1049510480128106496,RKsTwitty1,2018-10-09 04:02:52,RT RanbirKapoor DeepikaPadukone Sanju Yjhd BunnyNaina Tamasha VedTara
1049462175968972801,TheRevenge121,2018-10-09 00:50:55,AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films a
1049394204365996032,AngelAn34468522,2018-10-08 20:20:49,RT Reshma Classy This New Montage reminds me of YJHD Beautiful Couples I have ever seen AdiYa
1049367732305764354,ThisIsSumana,2018-10-08 18:35:38,YJHD Bepannaah
